,Title,Price,Ratings,Notes,Product link
26,"USB C Hub, 8-in-1 Type C Hub with Ethernet Port, 4K USB C to HDMI, USB 3.0/2.0 Ports,SD/TF Card Reader, 100W Power Delivery, 3.5mm Audio Jack, for Windows,Mac OS, Surface Pro,More USB-C Laptops",$29.79,32,4.6 out of 5 stars,amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_computers-intl-ship_sr_pg401_1?ie=UTF8&adId=A048622028V9SNWS5JH4L&url=%2FEthernet-Delivery-Windows-Surface-Laptops%2Fdp%2FB09TZJQTWQ%2Fref%3Dsr_1_9603_sspa%3Fqid%3D1661054036%26s%3Dcomputers-intl-ship%26sr%3D1-9603-spons%26psc%3D1&qualifier=1661054036&id=7759426383539668&widgetName=sp_atf_browse
27,"waherfo Bluetooth Keyboard for Mac, Slim Compact Wireless Keyboard Rechargeable for MacBook Pro/Air, iOS, iMac, iMac Pro/Mini - Black Silver",$32.99,10,3.5 out of 5 stars,amazon.com/waherfo-Bluetooth-Keyboard-Wireless-Rechargeable/dp/B09MCP5G13/ref=sr_1_9604?qid=1661054036&s=computers-intl-ship&sr=1-9604
28,"Powered USB Hub Rosonway 4 Ports USB 3.1 Gen 2 Hub 10Gbps with 3.3ft Data Cable, 5V/2A Power Adapter and Individual Switches, Aluminum USB 3.1/3.2 Hub Splitter for PC and Laptop, RSH-A104",$12.95,420,4.3 out of 5 stars,amazon.com/Rosonway-Individual-Switches-Aluminum-RSH-A104/dp/B09XR353QL/ref=sr_1_9605?qid=1661054036&s=computers-intl-ship&sr=1-9605
29,"7 Color Backlit Bluetooth Keyboard and Mouse Combo for iPad 9th 8th iPad Pro Mini Air iPhone, iPadOS 13 or Later, Slim Rechargeable Android Tablet Phone Wireless Keyboard Mouse Combo Portable (Black)",$29.99,"1,094",4.6 out of 5 stars,amazon.com/Bluetooth-Keyboard-Rechargeable-Wireless-Portable/dp/B0B1BS8S8B/ref=sr_1_9606?qid=1661054036&s=computers-intl-ship&sr=1-9606
30,"Plugable USB C to HDMI Multiport Adapter, 3-in-1 USB C Hub with 4K HDMI Output, USB 3.0 and USB-C Charging Port, Compatible with MacBook, Chromebook, Dell XPS, Thunderbolt 3 and More",$17.99,19,4.6 out of 5 stars,amazon.com/Plugable-Multiport-Compatible-Chromebook-Thunderbolt/dp/B08CL4Y3PJ/ref=sr_1_9607?qid=1661054036&s=computers-intl-ship&sr=1-9607
31,"ESR Slim Mouse Holder, Case for Magic Mouse, with Reusable Adhesive, No Glue Residue, Compact Elastic Pouch/Carrying Sleeve, Can Be Attached to iPad or MacBook, Black",$32.99,"1,451",4.2 out of 5 stars,amazon.com/ESR-Reusable-Adhesive-Carrying-Attached/dp/B07SRZMN48/ref=sr_1_9608?qid=1661054036&s=computers-intl-ship&sr=1-9608
32,"Lexmark, LEXB341X00, B341X00 Extra High Yield Return Program Toner Cartridge, 1 Each",$36.99,"4,109",4.0 out of 5 stars,amazon.com/Lexmark-LEXB341X00-B341X00-Program-Cartridge/dp/B08C7YQ6TS/ref=sr_1_9609?qid=1661054036&s=computers-intl-ship&sr=1-9609
33,"2 Pack Wireless Controller, AGPTEK Classic Controller Wireless for Nintendo Classic Mini Edition and PC,No-Wired Gamepad Joypad Support Windows",$29.99,216,4.8 out of 5 stars,amazon.com/Wireless-Controller-AGPTEK-Nintendo-No-Wired/dp/B07T2GV3YC/ref=sr_1_9610?qid=1661054036&s=computers-intl-ship&sr=1-9610
34,Logitech Over-The-Head Wireless Headset H600,$14.99,393,4.1 out of 5 stars,amazon.com/Logitech-Over-The-Head-Wireless-Headset-H600/dp/B005GTO07O/ref=sr_1_9611?qid=1661054036&s=computers-intl-ship&sr=1-9611
35,Lowrance 6Ft/1.82M Ethernet Crossover Cable,$26.99,4,5.0 out of 5 stars,amazon.com/Lowrance-1-82M-Ethernet-Crossover-Cable/dp/B002IVD2VS/ref=sr_1_9612?qid=1661054036&s=computers-intl-ship&sr=1-9612
36,"Lightning to USB3 Adapter, ROSYCLO MFi Certified USB OTG Data Sync Converter Compatible iPhone 12/11/X/8/7/6/iPad, Camera, Card Reader, USB Flash Drive, MIDI Keyboard, Mouse iOS 9.2-14+ Silver",$29.99,81,4.3 out of 5 stars,amazon.com/Lightning-Certified-Converter-Compatible-Keyboard/dp/B08R3S3NZ1/ref=sr_1_9613?qid=1661054036&s=computers-intl-ship&sr=1-9613
37,"VIVO Premium Dual Ultra Wide LCD LED 27 to 38 inch Monitor Desk Stand, Heavy Duty, Free-Standing Telescoping Arms, Flush Wall Setup, Fits 2 Screens, Black, STAND-TS38B",$17.99,308,4.3 out of 5 stars,amazon.com/VIVO-Premium-Free-Standing-Telescoping-STAND-TS38B/dp/B0B196NS4W/ref=sr_1_9614?qid=1661054036&s=computers-intl-ship&sr=1-9614
38,Watch Charging Charger Cable [MFi Certified] Compatible with Apple iWatch Series 7 6 SE 5 4 3 2 1 (38mm 40mm 41mm 42mm 44mm 45mm) - 3.9FT- White,$24.95,63,4.4 out of 5 stars,amazon.com/Watch-Charger-Apple-Charging-Cable/dp/B08QRLNX3B/ref=sr_1_9615?qid=1661054036&s=computers-intl-ship&sr=1-9615
39,Hawkeye Season 1 [2022],$34.99,734,4.4 out of 5 stars,amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_computers-intl-ship_sr_pg401_1?ie=UTF8&adId=A014714920C93XWCHQ34B&url=%2FWsndY-Hawkeye-Season-1%2Fdp%2FB0B7G8FQVK%2Fref%3Dsr_1_9616_sspa%3Fqid%3D1661054036%26s%3Dcomputers-intl-ship%26sr%3D1-9616-spons%26psc%3D1&qualifier=1661054036&id=7759426383539668&widgetName=sp_mtf_browse
40,"1U Server Rack Shelf Rack Mount Tray 10"" Deep for 19"" Network Cabinet and Equipment Rack Universal Vented Rackmount Shelf Computer Case Mounting Tray (1U,10"" Deep)",$9.99,11,4.5 out of 5 stars,amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_computers-intl-ship_sr_pg401_1?ie=UTF8&adId=A09924872X7HYEXR9FJCI&url=%2FEquipment-Universal-Rackmount-Computer-Mounting%2Fdp%2FB0B5C6SZMB%2Fref%3Dsr_1_9617_sspa%3Fqid%3D1661054036%26s%3Dcomputers-intl-ship%26sr%3D1-9617-spons%26psc%3D1&qualifier=1661054036&id=7759426383539668&widgetName=sp_mtf_browse
41,"ZDawnn Wired Mechanical Gaming Keyboard Tenkeyless,80% Compact 87 Keys Rainbow LED Backlight,Hot Swappable Blue Switch TKL Mechanical Keyboard for Computer and Laptop (White/Gray)",$138.11,"2,454",4.2 out of 5 stars,amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_computers-intl-ship_sr_pg401_1?ie=UTF8&adId=A06785642VWUG3SC98LY3&url=%2FZDawnn-Mechanical-Tenkeyless-Backlight-Swappable%2Fdp%2FB0B14TWVQT%2Fref%3Dsr_1_9618_sspa%3Fqid%3D1661054036%26s%3Dcomputers-intl-ship%26sr%3D1-9618-spons%26psc%3D1&qualifier=1661054036&id=7759426383539668&widgetName=sp_mtf_browse
42,"LTC LavaCaps PBT Double Shot 117-Key Pudding Keycaps Set, Translucent XDA Profile for ISO & ANSI Layout 61/68/84/87/104 Keys Mechanical Keyboard, with Keycap Puller - (Only Keycaps), White",$28.67,147,4.0 out of 5 stars,amazon.com/LTC-LavaCaps-Translucent-Mechanical-Keyboard/dp/B09J1G8RGF/ref=sr_1_9619?qid=1661054036&s=computers-intl-ship&sr=1-9619
43,3Pack Apple MFi Certified iPhone Charger Cable 3ft iPhone Charge Cord Lightning Cable Fast iPhone Charging Cable Nylon Braided Compatible for iPhone 13/12/11/11Pro/Xs/XR/8/7/Plus/6S/6/5S iPad 3ft,$33.99,"2,443",4.4 out of 5 stars,amazon.com/Certified-Charger-Lightning-Charging-Compatible/dp/B09XDNLR4H/ref=sr_1_9620?qid=1661054036&s=computers-intl-ship&sr=1-9620
44,"CHINGER TN760 Compatible Toner Cartridge Replacement for Brother TN760 TN-760 TN730 Used with HL-L2350DW HL-L2395DW HL-L2390DW DCP-L2550DW MFC-L2750DW HL-L2370DW MFC-L2710DW (2 Black, High Yield)",$37.90,28,4.8 out of 5 stars,amazon.com/CHINGER-TN760-Replacement-TN730-DCP-L2550DW/dp/B07ZYRKRNJ/ref=sr_1_9621?qid=1661054036&s=computers-intl-ship&sr=1-9621
45,Ussixchare 60 Percent Keyboard Mechanical Blue RGB Wired 60% Gaming Keyboard with PBT Backlit Keycaps for Windows PC Gamers (Sea/Red Switch),$9.99,455,4.5 out of 5 stars,amazon.com/Ussixchare-Percent-Keyboard-Mechanical-Backlit/dp/B09XMQ5Q72/ref=sr_1_9622?qid=1661054036&s=computers-intl-ship&sr=1-9622
46,"Logitech K540e Wireless Keyboard and M185 Wireless Mouse Combo — Keyboard and Mouse Included, Long Battery Life (with Mouse)",$11.99,132,4.3 out of 5 stars,amazon.com/Logitech-K540e-Wireless-Keyboard-Mouse/dp/B0B2C6DG4J/ref=sr_1_9623?qid=1661054036&s=computers-intl-ship&sr=1-9623
47,Uniwork Compatible Ink Cartridge Replacement for HP 564 564XL Replacement for Photosmart 6520 5520 4620 5510 C410a 6525 5514 OfficeJet 7510 4620 DeskJet 3522 Printer Tray (4BK/2C/2M/2Y) 10 Pack,$45.99,62,4.5 out of 5 stars,amazon.com/Uniwork-Compatible-Cartridge-Replacement-Photosmart/dp/B07S3RZCC3/ref=sr_1_9624?qid=1661054036&s=computers-intl-ship&sr=1-9624
48,KAIWEI Apple MFi Lightning Cable iPhone Charger Cable iPhone 13 12 11 Pro XS MaxxXR 8 7 6 Plus iPad Fast USB Cord Accessories Car Charging Cable,$7.99,9,4.8 out of 5 stars,amazon.com/KAIWEI-Lightning-Charger-Accessories-Charging/dp/B09GFVL2NW/ref=sr_1_9625?qid=1661054036&s=computers-intl-ship&sr=1-9625
49,"Thrustmaster T300 Ferrari Integral RW Alcantara Edition (PS3, PS4, PC)",$8.99,4,4.0 out of 5 stars,amazon.com/Thrustmaster-T300RS-Racing-Wheel-playstation-4/dp/B015KJ0SES/ref=sr_1_9626?qid=1661054036&s=computers-intl-ship&sr=1-9626
50,"DOUBLE D LC3037 Ink Cartridges Compatible Replacement for Brother LC3037 LC3037XXL LC3039, High Yield use with MFC-J6945DW MFC-J5845DW XL MFC-J5945DW MFC-J6545DW XL (1 Each of lc3037 BK/C/M/Y) 4 Pack",$24.99,5,3.3 out of 5 stars,amazon.com/DOUBLE-Replacement-Brother-MFC-J6945DW-lc3037/dp/B09P4TW63T/ref=sr_1_9627?qid=1661054036&s=computers-intl-ship&sr=1-9627
51,"USB-C Charge Cable Cord Wire & Wall AC Adapter/Fast Charger for New Beats Flex, Studio Buds, Fit Pro, Sony, JBL & Other Wireless/True Wireless Earbuds & Speakers with USB Type C Port",$29.99,67,4.3 out of 5 stars,amazon.com/Adapter-Charger-Wireless-Bluetooth-Speakers/dp/B08TTPY43G/ref=sr_1_9628?qid=1661054036&s=computers-intl-ship&sr=1-9628
52,"G-LAB Combo Argon E - 4-in-1 Gaming Bundle - Backlit QWERTY Gamer Keyboard, 3200 DPI Gamer Mouse, Gaming Headset, Non-Slip Mouse Pad - PC PS4 PS5 Xbox One Gamer Pack",$53.98,32,4.6 out of 5 stars,amazon.com/G-LAB-Combo-ARGON-4-1-Keyboard/dp/B08425LKNB/ref=sr_1_9629?qid=1661054036&s=computers-intl-ship&sr=1-9629
53,"USB C to USB C Cable 100W,[2-Pack 6.6ft Right Angle] SUMPK USB 3.1 Fast Charging Cord 90 Degree 20V/5A Type C PD Cable MacBook Pro 2020/2019/2018, iPad Pro 2020/18/Air 4, Galaxy S21/20/Note 20",$19.99,10,3.5 out of 5 stars,amazon.com/2-Pack-SUMPK-Charging-Degree-MacBook/dp/B09GBDDCT7/ref=sr_1_9630?qid=1661054036&s=computers-intl-ship&sr=1-9630
54,"USB C Hub Multiport Adapter, Cezokithy 7-in-1 USB-C Hub USB 3.0 5Gbps Data Ports,with 4K 30Hz, 100W Power Delivery, SD/TF Card Slots, RJ45 1Gbps Ethernet, for MacBook Pro, MacBook Air, iPad Pro, XPS",$9.99,420,4.3 out of 5 stars,amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_computers-intl-ship_sr_pg401_1?ie=UTF8&adId=A10343273U9TTH06DYZFV&url=%2FEthernet-Dokkteck-dongle-Suitable-MacBook%2Fdp%2FB09FLFK31D%2Fref%3Dsr_1_9631_sspa%3Fqid%3D1661054036%26s%3Dcomputers-intl-ship%26sr%3D1-9631-spons%26psc%3D1&qualifier=1661054036&id=7759426383539668&widgetName=sp_btf_browse
55,"OUTEMU (Gaote) Blue Switches, 3 Pin Keyboard Switches DIY Replaceable Cherry MX Equivalent Keyswitch, Tactile Switches for Mechanical Gaming Keyboard 20 Pack, Blue",$33.98,"1,094",4.6 out of 5 stars,amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_computers-intl-ship_sr_pg401_1?ie=UTF8&adId=A04198563ULBMHODJAO5C&url=%2FSwitches-Replaceable-Equivalent-Keyswitch-Mechanical%2Fdp%2FB09WGZKKVC%2Fref%3Dsr_1_9632_sspa%3Fqid%3D1661054036%26s%3Dcomputers-intl-ship%26sr%3D1-9632-spons%26psc%3D1&qualifier=1661054036&id=7759426383539668&widgetName=sp_btf_browse
56,"Replacement Audio Cable Cord, Compatible for SteelSeries Arctis 3 /Arctis 5/ Arctis 7 /Arctis Pro Wireless Gaming Headphones with Male to 3.5mm Female Cable Adapter (with 3.5mm Converter, Black)",$29.59,19,4.6 out of 5 stars,amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_computers-intl-ship_sr_pg401_1?ie=UTF8&adId=A0713016IKO5VVDXUZIJ&url=%2FReplacement-Compatible-SteelSeries-Headphones-Converter%2Fdp%2FB0B2RLVTXM%2Fref%3Dsr_1_9633_sspa%3Fqid%3D1661054036%26s%3Dcomputers-intl-ship%26sr%3D1-9633-spons%26psc%3D1&qualifier=1661054036&id=7759426383539668&widgetName=sp_btf_browse
57,"waherfo Bluetooth Keyboard for Mac, Slim Compact Wireless Keyboard Rechargeable for MacBook Pro/Air, iOS, iMac, iMac Pro/Mini - Black Silver",$39.99,"1,451",4.2 out of 5 stars,amazon.com/waherfo-Bluetooth-Keyboard-Wireless-Rechargeable/dp/B09MCP5G13/ref=sr_1_9601?qid=1661054040&s=computers-intl-ship&sr=1-9601
58,"Powered USB Hub Rosonway 4 Ports USB 3.1 Gen 2 Hub 10Gbps with 3.3ft Data Cable, 5V/2A Power Adapter and Individual Switches, Aluminum USB 3.1/3.2 Hub Splitter for PC and Laptop, RSH-A104",$63.99,"4,109",4.0 out of 5 stars,amazon.com/Rosonway-Individual-Switches-Aluminum-RSH-A104/dp/B09XR353QL/ref=sr_1_9602?qid=1661054040&s=computers-intl-ship&sr=1-9602
59,"7 Color Backlit Bluetooth Keyboard and Mouse Combo for iPad 9th 8th iPad Pro Mini Air iPhone, iPadOS 13 or Later, Slim Rechargeable Android Tablet Phone Wireless Keyboard Mouse Combo Portable (Black)",$21.99,216,4.8 out of 5 stars,amazon.com/Bluetooth-Keyboard-Rechargeable-Wireless-Portable/dp/B0B1BS8S8B/ref=sr_1_9603?qid=1661054040&s=computers-intl-ship&sr=1-9603
